registration_tax,amount,%change,year
0105552016725,"1,832,827.51","3,456.20",2014
0105552016725,N/A,N/A,2015
0105552016725,"4,034,861.59",N/A,2016
0115548006451,"579,000.00",-22.80,2016
0115548006451,N/A,-100.00,2017
0115548006451,N/A,N/A,2018
0675558000613,N/A,N/A,
0675558000613,N/A,N/A,
0675558000613,N/A,N/A,
0515559000146,"642,325.88",N/A,2016
0515559000146,"959,000.00",49.30,2017
0515559000146,"1,786,592.07",86.29,2018
0715547000641,"26,000.00",N/A,2016
0715547000641,N/A,-100.00,2017
0715547000641,"20,000.00",N/A,2018
0105557099645,"3,602,910.62",-4.78,2016
0105557099645,"6,407,728.56",77.84,2017
0105557099645,"10,181,768.46",58.89,2018
0745560006827,N/A,N/A,2016
0745560006827,"1,976,910.44",N/A,2017
0745560006827,"13,911,373.01",603.69,2018
0125555009029,"363,010.07",-72.53,2016
0125555009029,N/A,N/A,2017
0125555009029,"511,369.59",N/A,2018
0835559001735,"58,421.59",N/A,2016
0835559001735,"67,333.33",15.25,2017
0835559001735,"67,333.33",N/A,2018
0205548007562,N/A,-100.00,2015
0205548007562,N/A,N/A,2016
0205548007562,N/A,N/A,2017
0105544076480,"7,893,884.25",-4.15,2015
0105544076480,"7,355,902.78",-6.81,2016
0105544076480,"7,635,033.52",3.79,2017
0205559015405,"432,902.80",N/A,2017
0205559015405,"533,494.00",23.23,2018
0205559015405,N/A,N/A,2019
0105542006964,"565,656.71",-55.98,2016
0105542006964,"552,573.14",-2.31,2017
0105542006964,"1,090,342.50",97.32,2018
0445555000266,"188,506,972.84",-7.60,2016
0445555000266,"211,218,273.57",12.04,2017
0445555000266,"202,504,387.59",-4.12,2018
0105558190344,"1,904,068.39",-87.57,2016
0105558190344,"1,217,962.70",-36.03,2017
0105558190344,"261,654.10",-78.51,2018
0135558010958,N/A,N/A,2014
0135558010958,"586,666.31",N/A,2015
0135558010958,"2,584,946.87",340.61,2016
0105540064673,"70,866,494.28",6.71,2016
0105540064673,"76,833,420.58",8.41,2017
0105540064673,"81,930,118.16",6.63,2018
0505552001953,"17,444,839.31",-30.84,2015
0505552001953,"14,410,567.83",-17.39,2016
0505552001953,"14,851,441.35",3.05,2017
0705558001341,N/A,N/A,
0705558001341,N/A,N/A,
0705558001341,N/A,N/A,
0105510000502,N/A,N/A,
0105510000502,N/A,N/A,
0105510000502,N/A,N/A,
0105554157032,N/A,N/A,2016
0105554157032,N/A,N/A,2017
0105554157032,N/A,N/A,2018
0105536043845,N/A,N/A,
0105536043845,N/A,N/A,
0105536043845,N/A,N/A,
0105556153859,"6,166.70",-97.30,2016
0105556153859,"5,566.70",-9.72,2017
0105556153859,"4,200.00",-24.55,2018
0105549061341,N/A,N/A,2016
0105549061341,N/A,N/A,2017
0105549061341,N/A,N/A,2018
0115531000609,"4,021,896.56",-5.38,2016
0115531000609,"4,627,915.09",15.06,2017
0115531000609,N/A,N/A,2018
0845553005763,"4,447,695.70",170.39,2016
0845553005763,"7,036,504.02",58.20,2017
0845553005763,"6,718,153.64",-4.52,2018
0775547003186,"730,956.98",-0.54,2008
0775547003186,"1,275,774.76",74.53,2009
0775547003186,"27,500.00",-97.84,2010
0135552010271,"5,911,085.86",-8.40,2016
0135552010271,"6,552,287.19",10.84,2017
0135552010271,"8,651,769.74",32.04,2018
0125557003095,"889,211.49",-44.26,2016
0125557003095,"6,270,953.53",605.22,2017
0125557003095,"3,217,745.67",-48.68,2018
0105533091997,296.88,832.41,2016
0105533091997,348.23,17.29,2017
0105533091997,349.52,0.37,2018
0145560001014,N/A,N/A,
0145560001014,N/A,N/A,
0145560001014,N/A,N/A,
0775556001409,N/A,N/A,2015
0775556001409,N/A,N/A,2016
0775556001409,N/A,N/A,2017
0115559011087,N/A,N/A,2016
0115559011087,"1,065,850.00",N/A,2017
0115559011087,"1,029,627.25",-3.39,2018
0105540042416,"16,104.57",-95.50,2016
0105540042416,"16,217.93",0.70,2017
0105540042416,"16,042.72",-1.08,2018
0205555021184,"360,000.00",N/A,2016
0205555021184,"360,000.00",N/A,2017
0205555021184,"360,000.00",N/A,2018
0125556023165,"49,986,938.00",0.03,2016
0125556023165,"83,621,247.00",67.28,2017
0125556023165,"112,518,533.00",34.55,2018
0725549000150,"1,639,183.79",10.10,2015
0725549000150,"1,682,526.39",2.64,2016
0725549000150,"6,758,862.95",301.70,2017
0135549002794,N/A,-100.00,2016
0135549002794,N/A,N/A,2017
0135549002794,N/A,N/A,2018
0105557087141,"4,000.00",N/A,2016
0105557087141,"4,000.00",N/A,2017
0105557087141,"4,000.00",N/A,2018
0105557093205,N/A,N/A,2013
0105557093205,N/A,N/A,2014
0105557093205,"689,028.99",N/A,2015
0105554139034,N/A,N/A,2010
0105554139034,N/A,N/A,2011
0105554139034,"1,620,343.36",N/A,2012
0745555000697,"15,475,675.15","1,300.74",2016
0745555000697,"17,344,247.59",12.07,2017
0745555000697,"8,591,544.82",-50.46,2018
0105551100749,"9,235,342.49",-33.30,2016
0105551100749,"3,072,935.63",-66.72,2017
0105551100749,"3,043,810.19",-0.94,2018
0205550008333,"25,000.00",-98.29,2016
0205550008333,"25,000.00",N/A,2017
0205550008333,N/A,N/A,2018
0105551055301,"5,000.00",N/A,2016
0105551055301,N/A,-100.00,2017
0105551055301,"6,125.00",N/A,2018
0205555023756,"28,312.56",-0.65,2016
0205555023756,"27,931.38",-1.34,2017
0205555023756,"27,626.72",-1.09,2018
0105546131429,"195,799.00",18.63,2016
0105546131429,"196,562.64",0.39,2017
0105546131429,"330,893.80",68.34,2018
0105521023061,N/A,N/A,
0105521023061,N/A,N/A,
0105521023061,N/A,N/A,
0675560001192,N/A,N/A,2016
0675560001192,"4,335,211.57",N/A,2017
0675560001192,"21,473,738.13",395.33,2018
0105546122012,4.17,-99.44,2016
0105546122012,5.43,30.21,2017
0105546122012,7.85,44.56,2018
0105547110492,"1,080,000.00",19.99,2016
0105547110492,"1,080,000.66",N/A,2017
0105547110492,"1,320,939.12",22.30,2018
0305510000039,"8,100,458.79",0.36,2016
0305510000039,"7,682,059.40",-5.16,2017
0305510000039,"7,534,281.37",-1.92,2018
0105558121652,"98,386,330.97",58.38,2016
0105558121652,"42,367,703.49",-56.93,2017
0105558121652,"55,602,203.95",31.23,2018
0105521016430,"1,789,444.82",14.30,2016
0105521016430,"1,681,323.29",-6.04,2017
0105521016430,"929,244.30",-44.73,2018
0205559029881,N/A,N/A,2016
0205559029881,"9,500.00",N/A,2017
0205559029881,"19,000.00",100.00,2018
0845541001113,"1,201,637.38",4.86,2016
0845541001113,"778,332.55",-35.22,2017
0845541001113,"40,000.00",-94.86,2018
0105557172351,"19,380.00",-51.65,2016
0105557172351,"19,383.41",0.01,2017
0105557172351,"19,382.73",N/A,2018
0355546000012,"4,538,150.46",-27.81,2017
0355546000012,"2,184,292.87",-51.86,2018
0355546000012,"1,102,680.65",-49.51,2019
0125549007991,"84,501,606.06",7.64,2016
0125549007991,"90,171,937.18",6.71,2017
0125549007991,"87,352,690.37",-3.12,2018
0115547010307,N/A,N/A,
0115547010307,N/A,N/A,
0115547010307,N/A,N/A,
0105550069686,"1,511,463.89",-46.69,2016
0105550069686,"898,671.45",-40.54,2017
0105550069686,"5,989.63",-99.33,2018
0105560167729,N/A,N/A,2016
0105560167729,"5,638.70",N/A,2017
0105560167729,"2,222,951.95","39,323.12",2018
